record_id,source,source_url,organization,industry,document_type,collection_date,source_date,fee_terminology,fee_category,fee_amount,currency,recurring_status,contract_clause,cancellation_requirements,renewal_terms,evidence,evidence_reference,verification_status,notes
"R-2026-011","How do automatic payments from a bank account work? | Consumer Financial Protection Bureau","https://www.consumerfinance.gov/ask-cfpb/how-do-automatic-payments-from-a-bank-account-work-en-2021/","Consumer Financial Protection Bureau","banking_and_recurring_payments","consumer_answer","2026-08-08","2025-09-19","automatic payment; recurring payment; overdraft fee; NSF fee","automatic_payment_authorization","","","recurring","Payment authorization terms","The page directs consumers to learn how to stop automatic payments and retain the authorization terms.","","The CFPB explains that automatic payments authorize a company to withdraw money on a recurring basis, that variable payments require advance notice in specified circumstances, and that insufficient funds can lead to overdraft or NSF fees.","Answer sections on recurring authorizations, differing payment amounts, fees, and reviewing authorization terms","verified","General payment-authorization guidance; specific notice and cancellation rights can depend on the agreement and applicable law."
"R-2026-012","Getting In and Out of Free Trials, Auto-Renewals, and Negative Option Subscriptions | Consumer Advice","https://consumer.ftc.gov/articles/getting-and-out-free-trials-auto-renewals-and-negative-option-subscriptions","Federal Trade Commission","subscriptions","consumer_article","2026-08-08","","free trial; auto-renewal; negative option; cancellation; shipping fee","subscription_renewal_and_cancellation","","","recurring","Trial terms, renewal terms, and cancellation method","The FTC says businesses must tell consumers how to cancel before obtaining card information and make cancelling simple.","The page explains that a subscription may auto-renew if not cancelled before the trial or term ends.","The FTC explains that free trials can convert to paid subscriptions, auto-renewals can produce unexpected charges, negative-option plans bill unless the consumer cancels, and consumers should review trial and cancellation terms.","Article sections on free trials, auto-renewals, negative options, pre-checked boxes, and cancellation","verified","General consumer guidance; it does not establish that every subscription uses an unfair or unlawful term."
"R-2026-013","How To Avoid a Home Improvement Scam | Consumer Advice","https://consumer.ftc.gov/articles/how-avoid-home-improvement-scam","Federal Trade Commission","construction_and_home_services","consumer_article","2026-08-08","","written estimate; materials; labor; down payment; cancellation right","home_improvement_estimate_and_contract","","","not_stated","Written scope, price, dates, contractor identity, and cancellation notice","The FTC describes a written three-business-day cancellation statement for certain contracts signed at home or away from the seller’s permanent place of business.","","The FTC recommends multiple written estimates, a contract identifying work, materials, dates, and price, completion of blank spaces, and caution about large upfront payments and contractor financing.","Article sections on estimates, contract contents, cancellation language, deposits, and financing","verified","Contract requirements and cancellation rules vary by state and transaction setting; this is not legal advice."
"R-2026-014","Car dealerships can’t charge you for add-ons you don’t want | Consumer Advice","https://consumer.ftc.gov/consumer-alerts/2024/08/car-dealerships-cant-charge-you-add-ons-you-dont-want","Federal Trade Commission","automotive","consumer_alert","2026-08-08","2024-08-16","add-on; service contract; paint coating; extra fee; financing markup","automotive_unwanted_add_on","","","not_stated","Sales contract and financing agreement","","","The FTC describes allegations that dealerships charged buyers for unwanted or misrepresented add-ons and advises buyers to compare the written sales and financing agreements with what they agreed to.","Consumer alert paragraphs on alleged add-ons, electronic signing, written copies, and total cost","verified","The source describes allegations and enforcement context; it is not evidence that all dealers or add-ons are improper."
"R-2026-015","FTC and Connecticut take action against Manchester City Nissan auto dealership for illegally charging car buyers | Consumer Advice","https://consumer.ftc.gov/consumer-alerts/2024/01/ftc-connecticut-take-action-against-manchester-city-nissan-auto-dealership-illegally-charging-car","Federal Trade Commission and Connecticut Department of Consumer Protection","automotive","enforcement_consumer_alert","2026-08-08","2024-01-08","certification fee; add-on product; government fee; sales contract","automotive_enforcement_allegation","","","not_stated","Sales contract and add-on disclosure","","","The FTC alert reports allegations involving certification fees, add-on products, and government fees that buyers said they did not want, did not know about, or were misled into buying.","Alert summary and consumer advice sections describing the alleged conduct and contract review steps","verified","This record preserves the source’s allegation/enforcement framing and must not be generalized to all dealers."
"R-2026-016","How do I dispute a charge on my credit card bill? | Consumer Financial Protection Bureau","https://www.consumerfinance.gov/ask-cfpb/how-do-i-dispute-a-charge-on-my-credit-card-bill-en-61/","Consumer Financial Protection Bureau","credit_cards","consumer_answer","2026-08-08","2024-05-03","billing error; disputed charge; written notice","credit_card_billing_error","","","not_stated","Credit card agreement and billing-error notice","","","The CFPB advises calling the card company and sending a written billing-error notice within 60 calendar days after the charge appeared, while keeping copies of the dispute records.","Answer paragraphs on the credit card agreement, written billing-error notice, and response timing","verified","General billing-dispute guidance; consumers should follow the applicable agreement and law for their account."
"R-2026-017","How to fix mistakes in your credit card bill | Consumer Financial Protection Bureau","https://www.consumerfinance.gov/consumer-tools/credit-cards/how-to-fix-mistakes-in-your-credit-card-bill/","Consumer Financial Protection Bureau","credit_cards","consumer_tool","2026-08-08","2025-06-04","incorrect charge; disputed fee; optional fee-based product","credit_card_statement_review","","","not_stated","Statement and billing-dispute address","","","The CFPB’s five-step guide recommends reviewing statements for unfamiliar add-ons or fee-based products, sending written notice within 60 days, paying undisputed charges, and checking whether the mistake was corrected.","Five-step credit-card bill review and dispute procedure","verified","Procedure-focused guidance; it does not determine whether a specific fee is erroneous."
"R-2026-018","Can my credit card company charge a fee based on how I paid my bill, such as for making a payment over the phone? | Consumer Financial Protection Bureau","https://www.consumerfinance.gov/ask-cfpb/can-my-credit-card-company-charge-a-fee-based-on-how-i-paid-my-bill-such-as-for-making-a-payment-over-the-phone-en-60/","Consumer Financial Protection Bureau","credit_cards","consumer_answer","2026-08-08","2021-11-10","payment fee; expedited payment; voice response system","payment_method_fee","","","not_stated","Card payment method and service terms","","","The CFPB says a credit card company generally cannot charge a fee for making a payment, but may charge for an expedited payment requiring customer-service assistance; it says a voice-response-only payment cannot incur that fee.","Answer paragraphs distinguishing ordinary payments, expedited assistance, and voice-response systems","verified","The answer is general guidance and should be read with the current card agreement and applicable law."
"R-2026-019","How to read an explanation of benefits | CMS","https://www.cms.gov/medical-bill-rights/help/guides/explanation-of-benefits","Centers for Medicare & Medicaid Services","healthcare_billing","consumer_guide","2026-08-08","2024-11-05","explanation of benefits; provider charges; allowed charges; patient balance","medical_bill_reconciliation","","","not_stated","","","","CMS explains that an explanation of benefits is not a bill, shows provider and allowed charges, records what the insurer paid, and identifies the patient balance; it says a provider bill should not be higher than the patient balance.","EOB sections on total charges, provider charges, allowed charges, insurer payment, and patient balance","verified","The guide describes how to read an EOB; it is not a determination of coverage or a particular bill’s correctness."
"R-2026-020","Know your rights with insurance | CMS","https://www.cms.gov/medical-bill-rights/know-your-rights/using-insurance","Centers for Medicare & Medicaid Services","healthcare_billing","rights_guide","2026-08-08","2024-11-05","surprise bill; out-of-network charge; cost-sharing; balance bill","surprise_billing_protection","","","not_stated","Notice and consent; good faith estimate","","","CMS explains federal protections for certain unexpected out-of-network emergency and facility-related charges and directs consumers to compare bills, explanations of benefits, and cost-sharing information.","Medical Bill Rights sections on surprise billing, insurance, and comparing the bill with the EOB","verified","Protections depend on coverage, service, provider, facility, and circumstances; this record is not legal advice."
"R-2026-021","What is a “surprise medical bill” and what should I know about the No Surprises Act? | Consumer Financial Protection Bureau","https://www.consumerfinance.gov/ask-cfpb/what-is-a-surprise-medical-bill-and-what-should-i-know-about-the-no-surprises-act-en-2123/","Consumer Financial Protection Bureau","healthcare_billing","consumer_answer","2026-08-08","2024-08-21","surprise medical bill; out-of-network; balance billing; good faith estimate","surprise_medical_bill","","","not_stated","Notice and consent; good faith estimate; dispute process","","","The CFPB defines a surprise medical bill as an unexpected bill, explains out-of-network and balance-billing concepts, and describes protections and dispute routes under the No Surprises Act.","Answer sections defining surprise medical bills, balance billing, protections, and disputes","verified","The source describes federal protections and exceptions; application depends on insurance status and the service circumstances."
"R-2026-022","What should I know about medical credit cards and payment plans for medical bills? | Consumer Financial Protection Bureau","https://www.consumerfinance.gov/ask-cfpb/what-should-i-know-about-medical-credit-cards-and-payment-plans-for-medical-bills-en-1827/","Consumer Financial Protection Bureau","healthcare_financing","consumer_answer","2026-08-08","2023-05-08","deferred interest; late fee; administrative fee; processing fee; payment plan","medical_financing_fee","","","not_stated","Medical credit-card or payment-plan terms","","","The CFPB warns that medical credit cards and payment plans can involve deferred interest, late fees, administrative fees, or processing fees and advises consumers to review when interest and fees apply.","Answer sections on payment schedules, additional fees, deferred interest, and financial assistance","verified","The page describes risks and questions to ask; it does not compare a particular provider’s terms or decide affordability."
"R-2026-023","Do medical bills affect my credit and where do I find out what’s in my medical payment history? | Consumer Financial Protection Bureau","https://www.consumerfinance.gov/ask-cfpb/do-medical-bills-affect-my-credit-and-where-do-i-find-out-whats-in-my-medical-payment-history-en-1837/","Consumer Financial Protection Bureau","healthcare_billing_and_credit_reporting","consumer_answer","2026-08-08","2025-10-06","medical debt; consumer report; payment history; report fee","medical_debt_reporting","","","not_stated","","","","The CFPB advises reviewing specialty consumer reports for medical-history information and disputing errors, while noting that some reporting agencies may charge a fee for a report.","Answer sections on reviewing medical payment history, report access, and disputing errors","verified","The page concerns reporting and records, not the correctness of a provider’s underlying bill."
"R-2026-024","What To Do if You’re Billed for Things You Never Got, or You Get Unordered Products | Consumer Advice","https://consumer.ftc.gov/articles/what-do-if-youre-billed-things-you-never-got-or-you-get-unordered-products","Federal Trade Commission","shopping_and_subscriptions","consumer_article","2026-08-08","","free trial; unordered product; recurring billing; billing error","unwanted_product_billing","","","recurring","Order confirmation, trial, return, and billing records","","","The FTC advises consumers who receive unordered products or charges after a free trial to keep order and billing records, review total cost and policies, and contact the card issuer about billing errors or disputes.","Article sections on free trials, tracking purchases, records, and billing disputes","verified","Consumer guidance for unwanted billing and products; it does not establish that a particular seller violated a law."
"R-2026-025","How can I get a refund on a product or service I purchased with my credit card? | Consumer Financial Protection Bureau","https://www.consumerfinance.gov/ask-cfpb/how-can-i-get-a-refund-on-a-product-or-service-i-purchased-with-my-credit-card-en-1969/","Consumer Financial Protection Bureau","credit_cards_and_consumer_billing","consumer_answer","2026-08-08","2024-09-06","refund; chargeback; billing error; disputed charge","credit_card_refund_and_dispute","","","not_stated","Credit card agreement and billing-error process","","","The CFPB explains that a consumer should first ask the seller for a refund or reversal and may then ask the card company about disputing the charge or using a chargeback when appropriate.","Answer sections on contacting the seller, refunds, chargebacks, and billing errors","verified","The page describes possible dispute routes; it does not guarantee a refund or decide the merits of a specific transaction."
